,name,occurances,color,ppg
146,Smoked Malt (DE),993,3.109768378650554,36.923299503347
147,Pale Malt (US),981,2.0254841997961264,36.921264993635276
148,Black Barley (US),980,530.2214285714285,26.934864731468057
149,Munich - 60L (US),964,59.968879668049794,32.933661836926134
150,Roasted Barley (BE),958,571.3757828810021,29.937810408119205
151,Extra Dark Crystal 120L (UK),952,120.05882352941177,32.93473617691515
152,Crystal Rye (UK),951,88.42166140904311,32.93159144893111
153,Blackprinz (US),950,499.7,35.90436349998294
154,"Pale Malt, 2 Row, UK",932,3.0,35.92537248974303
155,CaraPils,930,3.964516129032258,32.93051840913153
156,"Candi Sugar, Amber",922,74.98047722342733,35.925372489743026
157,Molasses ,919,80.65288356909684,35.925372489743026
158,Debittered Black Malt,915,550.0,33.9295184625351
159,American Crystal 15L,897,15.0,33.92951846253509
160,Pale Malt,893,2.0067189249720045,36.916594506615056
161,CaraRed,893,18.058230683090706,32.91147645873528
162,Oat Malt (UK),887,2.023675310033822,27.898079093954607
163,Caramel/Crystal 150L (US),875,149.8057142857143,32.93159144893111
164,Midnight Wheat,844,549.0462085308056,33.743885119957106
165,CARAMUNICH® II,841,45.01307966706302,34.927445476139056
166,Coffee Malt (UK),835,150.95928143712575,35.92537248974304
167,American Black Patent,834,127.08752997601918,25.946102353703303
168,Belgian CaraVienne,830,22.236144578313255,33.9295184625351
169,German Wheat,828,2.002415458937198,38.919153530554944
170,CARAPILSÂ®,824,1.0060679611650485,32.93280252540393
171,De-Bittered Black (BE),813,564.5940959409594,33.82886653742375
172,muntons marris otter,813,3.0,33.9295184625351
173,CARAFAÂ® II,811,431.0,31.93366443532714
174,Peated Malt,810,2.751851851851852,32.55582880800617
175,"Rye, Flaked",809,2.0,35.92537248974303
176,CARAREDÂ®,806,17.00744416873449,32.93159144893111
177,Rahr White Wheat Malt,800,4.9925,33.95446663787519
178,Crystal 50L (UK),800,50.2,33.9295184625351
179,Cara 45L (BE),797,42.01756587202008,33.9295184625351
180,Unmalted Wheat (BE),787,2.008894536213469,35.751654572508286
181,Wheat Malt (Pale),774,1.0116279069767442,38.91657490778077
182,Golden Naked Oats,761,6.026281208935611,32.93159144893111
183,Carastan 30L (UK),760,33.982894736842105,34.926132414279046
184,"Candi Sugar, Dark",748,274.5922459893048,34.911435951856646
185,Torrified Barley,732,2.680327868852459,35.92537248974303
186,Caramunich Malt 60,728,60.0,32.93570378552563
187,Aromatic Malt (UK),724,20.7707182320442,34.92468877168159
188,Honey,723,1.348127600554785,33.32910594397668
189,Maltodextrine,717,,0.1294382318900551
190,Pearl (UK),716,2.043296089385475,36.92051199772241
191,Carafa I,716,335.43715083798884,32.38524034651107
192,"Wheat, Red",713,2.0126227208976157,28.939883394515228
193,Belgian Candi Sugar - Amber/Brown,705,59.50780141843972,37.92405751557113
194,Carastan,694,30.038904899135446,33.936708138425615
195,2-Row Caramel Malt 120L,670,120.0,31.93366443532714
196,Belgian Candi Syrup - Dark,670,82.84626865671642,31.94260109515046
197,Crystal 70L (UK),658,70.07598784194529,33.93103506893875
198,CARAMUNICHÂ® II,658,45.0,34.927445476139056
199,Crystal 75L,654,75.01529051987768,33.9264666979675
200,Caramunich II,651,46.87864823348694,33.91265640854179
201,CARAFA® II,648,431.0848765432099,31.933664435327145
202,Belgian Two-row Pale,631,1.0079239302694136,36.923299503346996
203,Crystal 120,628,120.0,31.959089327393485
204,CaraAroma,626,130.0,33.92951846253509
205,Rye,622,3.0064308681672025,33.95358422652876
206,CARARED®,617,17.00486223662885,32.93159144893111
207,CARAHELL®,606,9.0,34.927445476139056
208,Belgian Wheat,604,2.0,37.917922122866194
209,Belgian Candi Sugar - Dark,595,266.7676767676768,37.89606869307861
210,Dark Wheat (DE),578,6.141868512110727,38.91052094393207
211,Dextrine Malt (UK),568,1.0035211267605635,32.899967001316895
212,CaraCrystal Wheat Malt (US),553,54.84267631103074,33.92951846253509
213,Belgian Caramel Pils,552,6.0,33.9295184625351
214,Acid Malt,548,3.0437956204379564,26.944029367307277
215,Caramel Wheat (DE),540,45.96296296296296,33.9332144885114
216,CARAPILS®,538,1.0,32.92788168308128
217,Crystal 15L (CA),537,15.009310986964618,33.9295184625351
218,Belgian Candi Syrup - Amber,535,40.220560747663555,31.93926028773987
219,Belgian Candi Syrup - Clear,533,2.473684210526316,31.952387268603005
220,Maltodextrin ,528,900.0,38.44287018315305
